what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_17",1262157223049
java.vm.info,sysinfo,,,"mixed mode",1262157223049
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1262157223049
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1262157223049
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262157223049
java.vm.specification.version,sysinfo,,,"1.0",1262157223049
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1262157223049
java.vm.version,sysinfo,,,"14.3-b01",1262157223049
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1262157223112
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1262157223393
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1262157223487
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1262157223768
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1262157223940
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1262157224174
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1262157224534
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1262157224534
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1262157224705
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1262157224784
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1262157224955
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1262157225737
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1262157230112
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1262157245721
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1262157246174
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1262157246627
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1262157246674
