what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1261640544546
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1261640547953
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1261640548000
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1261640548046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261640558250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261640611734
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1261640611750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261640614265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261640912796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261640914078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261640915234
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261640915343
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1261640915828
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1261640916375
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1261640916406
stopped,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.adt",1261640916406
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1261640916421
stopped,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1261640916421
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1261640916500
stopped,bundle,org.eclipse.pde.ui,3.1.0,"org.eclipse.pde.ui",1261640916562
stopped,bundle,com.google.gdt.eclipse.suite,1.1.0.v200907291526,"com.google.gdt.eclipse.suite",1261640916562
stopped,bundle,com.google.gwt.eclipse.sdkbundle.win32,1.7.0.v200907291526,"com.google.gwt.eclipse.sdkbundle.win32",1261640916562
stopped,bundle,com.google.gwt.eclipse.core,1.1.0.v200907291526,"com.google.gwt.eclipse.core",1261640916562
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1261640916609
