what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1262157222752
started,bundle,com.google.gdt.eclipse.core,1.1.0.v200907291526,"com.google.gdt.eclipse.core",1262157222752
started,bundle,com.google.gdt.eclipse.platform.shared,1.1.0.v200907291526,"com.google.gdt.eclipse.platform.shared",1262157222752
started,bundle,com.google.gdt.eclipse.suite,1.1.0.v200907291526,"com.google.gdt.eclipse.suite",1262157222752
started,bundle,org.eclipse.jdt.core,3.5.1.v_972_R35x,"org.eclipse.jdt.core",1262157222752
started,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1262157222877
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1262157222877
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1262157222877
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1262157222877
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1262157222924
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1262157222924
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1262157222971
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1262157222987
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1262157223034
os,sysinfo,,,"win32",1262157223049
arch,sysinfo,,,"x86",1262157223049
ws,sysinfo,,,"win32",1262157223049
locale,sysinfo,,,"en_US",1262157223049
processors,sysinfo,,,"1",1262157223049
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1262157223049
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1262157223049
java.specification.name,sysinfo,,,"Java Platform API Specification",1262157223049
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262157223049
java.specification.version,sysinfo,,,"1.6",1262157223049
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1262157223049
