what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1261640542500
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1261640542640
os,sysinfo,,,"win32",1261640542640
arch,sysinfo,,,"x86",1261640542640
ws,sysinfo,,,"win32",1261640542640
locale,sysinfo,,,"en_US",1261640542640
processors,sysinfo,,,"1",1261640542640
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261640542640
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261640542640
java.specification.name,sysinfo,,,"Java Platform API Specification",1261640542640
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261640542640
java.specification.version,sysinfo,,,"1.6",1261640542640
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261640542640
java.version,sysinfo,,,"1.6.0_17",1261640542640
java.vm.info,sysinfo,,,"mixed mode",1261640542640
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261640542640
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261640542640
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261640542640
java.vm.specification.version,sysinfo,,,"1.0",1261640542640
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261640542640
java.vm.version,sysinfo,,,"14.3-b01",1261640542640
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1261640542671
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1261640543703
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1261640543734
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1261640543984
